Rank,DMA,tv_homes,adwords_pause,rev_before,rev_after
1,New York,6824120,1,58431247,49549729
2,Los Angeles,5145350,0,37535034,39825891
3,Chicago,3256400,0,28221552,27253276
4,Philadelphia,2758330,0,29068833,21766752
5,Dallas-Ft. Worth,2563320,0,18945015,20658236
6,San Francisco-Oak-San Jose,2364740,0,21630950,17707435
7,"Washington, DC (Hagrstwn)",2351930,0,19926471,17311037
8,Houston,2330180,0,15016455,18083078
9,Boston (Manchester),2302680,0,15722917,20985238
10,Atlanta,2269270,1,16998050,13894958
11,Phoenix (Prescott),1879780,1,16146566,11499577
12,Tampa-St. Pete (Sarasota),1800600,0,16336942,12890270
13,Seattle-Tacoma,1764680,1,14174767,12417596
14,Detroit,1737170,0,13767475,14821190
15,Minneapolis-St. Paul,1697370,1,13227516,12534546
16,Miami-Ft. Lauderdale,1642220,1,13561881,12725139
17,Denver,1532320,1,11346589,10256933
18,Orlando-Daytona Bch-Melbrn,1492640,0,9514214,11124123
19,Cleveland-Akron (Canton),1366110,0,9148449,10672230
20,Sacramnto-Stkton-Modesto,1317500,0,10247505,10061527
21,Charlotte,1125970,0,9442097,9164321
22,"Portland, OR",1112500,0,9149445,8661621
23,St. Louis,1099590,0,9169399,8800412
24,Pittsburgh,1079900,0,6850027,8040217
25,Indianapolis,1053830,0,9600395,6606880
26,Baltimore,1039490,1,9607888,7252160
27,Raleigh-Durham (Fayetvlle),1025320,0,8374670,8760216
28,Nashville,983180,0,8583352,6234489
29,San Diego,981650,1,6493851,7761747
30,Salt Lake City,952470,0,8364847,7117320
31,San Antonio,916970,0,6496200,8093138
32,Kansas City,896850,1,6726482,6307278
33,Hartford & New Haven,885890,0,7463770,7372430
34,"Columbus, OH",877490,0,6747900,6594293
35,Milwaukee,837300,1,7264399,7298827
36,West Palm Beach-Ft. Pierce,828980,0,6677714,6766276
37,Cincinnati,828250,0,6562929,7220205
38,Greenvll-Spart-Ashevll-And,787930,0,7584897,5768385
39,Las Vegas,743220,0,5770279,6661432
40,Austin,736770,0,6316256,5096135
41,Jacksonville,690400,0,5483861,5808473
42,Norfolk-Portsmth-Newpt Nws,684310,0,5393689,5982165
43,Oklahoma City,666690,0,5146846,5035902
44,Birmingham (Ann and Tusc),666170,1,6375258,4134564
45,Grand Rapids-Kalmzoo-B.Crk,653100,0,6102855,4918050
46,Albuquerque-Santa Fe,648350,0,6208258,5212249
47,Harrisburg-Lncstr-Leb-York,641660,0,5420050,4474360
48,Louisville,636150,0,5420739,5677917
49,Greensboro-H.Point-W.Salem,635580,0,4762328,4636627
50,New Orleans,615480,0,4633190,5183569
51,Memphis,580600,0,4212584,4336792
52,Buffalo,576710,0,5186814,3800589
53,Ft. Myers-Naples,564250,0,4068139,4753389
54,Richmond-Petersburg,555630,0,4510038,4468292
55,Fresno-Visalia,550860,0,3912500,4460936
56,Providence-New Bedford,543430,0,4971111,3999802
57,Mobile-Pensacola (Ft Walt),518740,0,4095558,3999395
58,Tulsa,509560,0,3818424,3990619
59,Albany-Schenectady-Troy,500400,0,4380789,3894318
60,Wilkes Barre-Scranton-Hztn,497830,0,3182204,4009543
61,Knoxville,491810,1,4228393,3756629
62,Little Rock-Pine Bluff,472560,0,3851246,3401196
63,Dayton,445240,0,3351189,3329290
64,Lexington,425890,0,2893911,2897368
65,Tucson (Sierra Vista),421820,1,3488200,3024935
66,Honolulu,414130,1,4141084,3059463
67,Green Bay-Appleton,394210,1,2939073,2917276
68,Des Moines-Ames,393470,1,3197352,3200573
69,Roanoke-Lynchburg,384120,1,2980943,2930189
70,Spokane,381590,0,2856429,2694461
71,Omaha,380630,1,3271849,3108508
72,Wichita-Hutchinson Plus,378930,0,3534549,3315617
73,"Springfield, MO",373700,0,2705530,2713802
74,Charleston-Huntington,367290,0,3029388,3482215
75,"Columbia, SC",365850,0,3705710,2927252
76,"Rochester, NY",361750,1,2990221,2914043
77,Flint-Saginaw-Bay City,360530,0,3454944,3009943
78,Huntsville-Decatur (Flor),351610,0,2950682,2708052
79,Portland-Auburn,349470,0,2996670,2842709
80,Toledo,347480,0,2640934,3023088
81,Madison,343350,0,2775735,2984653
82,Waco-Temple-Bryan,333300,0,2656534,2135783
